text,label
MTN MoMo Alert: Cash out of GHS 1594 successful at Burke-Brooks. New balance: GHS 9603.,0
Your transfer of GHS 1393 to (0113)4960180 was successful. Ref: TXN592349.,0
MTN MoMo Alert: Cash out of GHS 1404 successful at Robinson-Poole. New balance: GHS 4518.,0
Send back GHS 242 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
You won GHS 59868 prize! Click here to claim: https://mtn-claim.xyz/ref=e8e08c Confirm PIN now!,1
Your transfer of GHS 757 to +44(0)1144960031 was successful. Ref: TXN709825.,0
Your transfer of GHS 3507 to +44(0)1184960549 was successful. Ref: TXN451043.,0
"MTN MoMo Alert: Cash out of GHS 1631 successful at Williams, Holt and Whitehead. New balance: GHS 8083.",0
Your transfer of GHS 2539 to 01134960579 was successful. Ref: TXN457290.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0249154375!,1
Your transfer of GHS 1184 to 0808 1570952 was successful. Ref: TXN396995.,0
URGENT! Wrong transfer of GHS 727 to your number. Call 0557599251 immediately to return money!,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0248280499!,1
You have received GHS 221 from 0191 4960531. Ref: ca325e54. Balance: GHS 650.,0
"MTN MoMo Alert: Cash out of GHS 1983 successful at Harris, Hall and Flynn. New balance: GHS 8984.",0
Send back GHS 1852 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
Your transfer of GHS 3491 to +441614960051 was successful. Ref: TXN905985.,0
Your transfer of GHS 3316 to 01614960770 was successful. Ref: TXN836124.,0
MTN MoMo Alert: Cash out of GHS 1224 successful at Johnson-Woodward. New balance: GHS 2404.,0
You have received GHS 723 from (0131)4960268. Ref: 6435c707. Balance: GHS 3999.,0
URGENT! Wrong transfer of GHS 4542 to your number. Call 0551043142 immediately to return money!,1
Your transfer of GHS 1659 to +44113 4960224 was successful. Ref: TXN228721.,0
MTN MoMo Alert: Cash out of GHS 754 successful at Williams-Bailey. New balance: GHS 7931.,0
Your transfer of GHS 1293 to (029) 2018 0886 was successful. Ref: TXN303657.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0248019280!,1
Your transfer of GHS 161 to (0121) 496 0188 was successful. Ref: TXN828535.,0
MTN MoMo Alert: Cash out of GHS 524 successful at Parker PLC. New balance: GHS 9015.,0
You have received GHS 564 from +449098790930. Ref: f7652ef0. Balance: GHS 1827.,0
Your transfer of GHS 1627 to (0118) 4960852 was successful. Ref: TXN733113.,0
"MTN MoMo Alert: Cash out of GHS 1916 successful at Hartley, Taylor and Parker. New balance: GHS 9511.",0
You have received GHS 119 from (029)2018266. Ref: bd833516. Balance: GHS 4774.,0
MTN MoMo Alert: Cash out of GHS 1792 successful at Jones-Clark. New balance: GHS 9824.,0
Your transfer of GHS 1536 to +44141 4960816 was successful. Ref: TXN760044.,0
You have received GHS 786 from (0115) 4960421. Ref: 5a9497ac. Balance: GHS 1386.,0
You have received GHS 351 from (0808)1570180. Ref: 56a88d72. Balance: GHS 2214.,0
MTN MoMo Alert: Cash out of GHS 1867 successful at Smith LLC. New balance: GHS 846.,0
You won GHS 22380 prize! Click here to claim: https://mtn-claim.xyz/ref=d12cb8 Confirm PIN now!,1
URGENT! Wrong transfer of GHS 771 to your number. Call 0551794132 immediately to return money!,1
"MTN MoMo Alert: Cash out of GHS 1175 successful at Robinson, Murray and Smith. New balance: GHS 6805.",0
You have received GHS 330 from +441134960661. Ref: 1461af71. Balance: GHS 4720.,0
Send back GHS 1990 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
Send back GHS 2204 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0248291969!,1
You have received GHS 19 from (0191) 4960581. Ref: 37ca71f4. Balance: GHS 3137.,0
Your transfer of GHS 3191 to 0113 496 0468 was successful. Ref: TXN595425.,0
You won GHS 22202 prize! Click here to claim: https://mtn-claim.xyz/ref=788ae2 Confirm PIN now!,1
You have received GHS 21 from (0117) 4960768. Ref: 399c2a97. Balance: GHS 2697.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0242821849!,1
MTN MoMo Alert: Cash out of GHS 970 successful at Thomas-Mitchell. New balance: GHS 4379.,0
Your transfer of GHS 1637 to +44(0)1154960581 was successful. Ref: TXN732875.,0
Send back GHS 2672 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
MTN MoMo Alert: Cash out of GHS 988 successful at Davies Inc. New balance: GHS 599.,0
Your transfer of GHS 615 to 0113 496 0393 was successful. Ref: TXN553887.,0
You have received GHS 213 from (0191)4960507. Ref: 29386870. Balance: GHS 1726.,0
URGENT! Wrong transfer of GHS 4198 to your number. Call 0558416249 immediately to return money!,1
You won GHS 13802 prize! Click here to claim: https://mtn-claim.xyz/ref=66e0bf Confirm PIN now!,1
MTN MoMo Alert: Cash out of GHS 1033 successful at Gardiner Ltd. New balance: GHS 8011.,0
You won GHS 64392 prize! Click here to claim: https://mtn-claim.xyz/ref=55b954 Confirm PIN now!,1
Your transfer of GHS 2298 to +44(0)29 2018371 was successful. Ref: TXN818083.,0
MTN MoMo Alert: Cash out of GHS 1953 successful at Myers-Moore. New balance: GHS 966.,0
You have received GHS 883 from +44116 4960251. Ref: 44fe7890. Balance: GHS 2740.,0
URGENT! Wrong transfer of GHS 4391 to your number. Call 0556377935 immediately to return money!,1
You have received GHS 175 from 029 2018 0221. Ref: c5c5a1e8. Balance: GHS 961.,0
MTN MoMo Alert: Cash out of GHS 786 successful at Watson Inc. New balance: GHS 229.,0
You have received GHS 133 from +44(0)292018815. Ref: 2da54bc8. Balance: GHS 3005.,0
Your transfer of GHS 2969 to 01164960250 was successful. Ref: TXN227389.,0
You have received GHS 64 from 0151 496 0577. Ref: ce896b2f. Balance: GHS 827.,0
You have received GHS 791 from 0292018273. Ref: 7fe97758. Balance: GHS 3379.,0
You won GHS 62578 prize! Click here to claim: https://mtn-claim.xyz/ref=12a8c4 Confirm PIN now!,1
You have received GHS 181 from 01314960065. Ref: 100b3cc6. Balance: GHS 2054.,0
"MTN MoMo Alert: Cash out of GHS 1359 successful at Sheppard, Williams and McCarthy. New balance: GHS 8225.",0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0242957492!,1
You have received GHS 238 from (0191) 496 0302. Ref: 871b5a53. Balance: GHS 4433.,0
MTN MoMo Alert: Cash out of GHS 1304 successful at Walton-Browne. New balance: GHS 3166.,0
Your transfer of GHS 2561 to 01174960796 was successful. Ref: TXN485682.,0
Your transfer of GHS 2935 to (0116) 4960305 was successful. Ref: TXN646007.,0
Send back GHS 394 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
URGENT! Wrong transfer of GHS 1580 to your number. Call 0556200075 immediately to return money!,1
You have received GHS 954 from +44306 9990755. Ref: 5d7b0036. Balance: GHS 3600.,0
You have received GHS 679 from 0121 4960953. Ref: 60a80788. Balance: GHS 512.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0248859690!,1
Your transfer of GHS 1910 to +4428 9018159 was successful. Ref: TXN869787.,0
Your transfer of GHS 2208 to (0118) 496 0809 was successful. Ref: TXN578321.,0
"MTN MoMo Alert: Cash out of GHS 1766 successful at Cole, Horton and Ball. New balance: GHS 7311.",0
Your transfer of GHS 642 to +44117 496 0583 was successful. Ref: TXN714593.,0
You have received GHS 625 from +44(0)29 2018395. Ref: d54fe482. Balance: GHS 2618.,0
Your transfer of GHS 3795 to 0116 496 0154 was successful. Ref: TXN753382.,0
You have received GHS 748 from +44118 4960298. Ref: a07f5318. Balance: GHS 4454.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0243382516!,1
Send back GHS 2465 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
MTN MoMo Alert: Cash out of GHS 1203 successful at Daly-Evans. New balance: GHS 358.,0
Your transfer of GHS 4066 to (0909)8790827 was successful. Ref: TXN886851.,0
URGENT! Wrong transfer of GHS 1158 to your number. Call 0554202589 immediately to return money!,1
"MTN MoMo Alert: Cash out of GHS 868 successful at Day, Smith and Wilson. New balance: GHS 3924.",0
MTN MoMo Alert: Cash out of GHS 1312 successful at Lambert-Fleming. New balance: GHS 793.,0
Your transfer of GHS 134 to +44(0)20 74960615 was successful. Ref: TXN434419.,0
Your transfer of GHS 2207 to +441514960037 was successful. Ref: TXN169045.,0
Your transfer of GHS 2773 to (0151) 4960437 was successful. Ref: TXN209507.,0
You won GHS 94606 prize! Click here to claim: https://mtn-claim.xyz/ref=562b28 Confirm PIN now!,1
Your transfer of GHS 565 to 0909 879 0129 was successful. Ref: TXN160508.,0
You have received GHS 23 from +44(0)141 4960482. Ref: d96e8e1a. Balance: GHS 2389.,0
"MTN MoMo Alert: Cash out of GHS 1101 successful at Wood, Coleman and Davies. New balance: GHS 253.",0
Your transfer of GHS 414 to (020) 74960780 was successful. Ref: TXN160389.,0
MTN MoMo Alert: Cash out of GHS 665 successful at Dickinson LLC. New balance: GHS 5482.,0
MTN MoMo Alert: Cash out of GHS 837 successful at Read PLC. New balance: GHS 1324.,0
"MTN MoMo Alert: Cash out of GHS 169 successful at Morris, Howard and Bull. New balance: GHS 4296.",0
MTN MoMo Alert: Cash out of GHS 225 successful at Thorpe Group. New balance: GHS 7274.,0
You have received GHS 712 from 0131 4960574. Ref: 7c5bf3b7. Balance: GHS 1473.,0
Your transfer of GHS 941 to +44292018021 was successful. Ref: TXN478063.,0
You have received GHS 522 from +4429 2018573. Ref: 51bf3c0f. Balance: GHS 4791.,0
URGENT! Wrong transfer of GHS 579 to your number. Call 0557627254 immediately to return money!,1
MTN MoMo Alert: Cash out of GHS 684 successful at Andrews-Hill. New balance: GHS 1237.,0
You have received GHS 225 from (028)9018136. Ref: a422a7f2. Balance: GHS 1741.,0
URGENT! Wrong transfer of GHS 1413 to your number. Call 0558428761 immediately to return money!,1
Your transfer of GHS 1665 to 0191 498 0782 was successful. Ref: TXN963537.,0
You have received GHS 453 from +44(0)9098790224. Ref: 5cfd9028. Balance: GHS 4209.,0
You have received GHS 437 from +44(0)121 4960542. Ref: 2cdc86bf. Balance: GHS 2764.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0244004311!,1
You have received GHS 777 from +4429 2018035. Ref: d9d26d64. Balance: GHS 2748.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0243864116!,1
"MTN MoMo Alert: Cash out of GHS 108 successful at Walker, Winter and Patel. New balance: GHS 341.",0
You have received GHS 927 from (0113)4960359. Ref: c4263813. Balance: GHS 751.,0
Your transfer of GHS 2544 to (028) 9018 0473 was successful. Ref: TXN641389.,0
You won GHS 68745 prize! Click here to claim: https://mtn-claim.xyz/ref=6d6493 Confirm PIN now!,1
MTN MoMo Alert: Cash out of GHS 1920 successful at Lewis Inc. New balance: GHS 6751.,0
Your transfer of GHS 2459 to +44(0)191 4960803 was successful. Ref: TXN216425.,0
MTN MoMo Alert: Cash out of GHS 838 successful at Davidson LLC. New balance: GHS 288.,0
You won GHS 82373 prize! Click here to claim: https://mtn-claim.xyz/ref=85aabb Confirm PIN now!,1
Your transfer of GHS 3919 to (0306) 999 0680 was successful. Ref: TXN973563.,0
URGENT! Wrong transfer of GHS 3725 to your number. Call 0556437317 immediately to return money!,1
MTN MoMo Alert: Cash out of GHS 1077 successful at Evans-Day. New balance: GHS 1650.,0
You have received GHS 420 from +44(0)289018756. Ref: 8eb74ce9. Balance: GHS 3007.,0
Your transfer of GHS 2236 to 0289018768 was successful. Ref: TXN810833.,0
Send back GHS 1128 sent by mistake. Do not use it! Reply with your PIN to reverse.,1
"MTN MoMo Alert: Cash out of GHS 125 successful at Hill, Dunn and Gould. New balance: GHS 5373.",0
Your transfer of GHS 4505 to 0306 9990721 was successful. Ref: TXN406875.,0
You have received GHS 575 from +44113 496 0919. Ref: 414b9e62. Balance: GHS 2513.,0
Your transfer of GHS 3636 to (029)2018091 was successful. Ref: TXN925951.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0244802606!,1
You have received GHS 417 from +44(0)121 4960890. Ref: 0b9968a3. Balance: GHS 1635.,0
You have received GHS 503 from 029 2018 0506. Ref: e8fbb450. Balance: GHS 3026.,0
URGENT! Wrong transfer of GHS 4535 to your number. Call 0552069240 immediately to return money!,1
You have received GHS 639 from (0161) 496 0458. Ref: 333c7ea5. Balance: GHS 3361.,0
You have received GHS 537 from (020) 7496 0605. Ref: 08beb361. Balance: GHS 695.,0
MTN MoMo Alert: Cash out of GHS 138 successful at Hancock and Sons. New balance: GHS 8609.,0
You have received GHS 131 from (0161)4960345. Ref: ece18460. Balance: GHS 3682.,0
Your transfer of GHS 330 to 0141 4960146 was successful. Ref: TXN537794.,0
URGENT! Wrong transfer of GHS 4521 to your number. Call 0557318929 immediately to return money!,1
URGENT! Wrong transfer of GHS 4585 to your number. Call 0552841872 immediately to return money!,1
You have received GHS 998 from 01614960451. Ref: 2cc13070. Balance: GHS 1768.,0
MTN MoMo Alert: Cash out of GHS 1147 successful at Sanders-Evans. New balance: GHS 6956.,0
You have received GHS 199 from (0306) 999 0766. Ref: 2d94fd1f. Balance: GHS 3674.,0
Your transfer of GHS 3508 to +44(0)1314960147 was successful. Ref: TXN320175.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0243317827!,1
Your transfer of GHS 1759 to +44(0)28 9018 0791 was successful. Ref: TXN631712.,0
Your transfer of GHS 3285 to +44191 496 0203 was successful. Ref: TXN879169.,0
You have received GHS 865 from (0121) 496 0225. Ref: 1e74a751. Balance: GHS 1077.,0
Your transfer of GHS 3584 to (020) 7496 0702 was successful. Ref: TXN781079.,0
MoMo security alert: Unusual activity. Verify your account: https://secure-momo-gh.com/login?pin=required Call 0249385928!,1
You won GHS 36716 prize! Click here to claim: https://mtn-claim.xyz/ref=0003a6 Confirm PIN now!,1
